,사업장명,업태구분명,업소URL,지번주소,도로명주소,대표메뉴,가격정보,메뉴라벨링,외식비
253,무화,중국식,1216238643,서울특별시 동작구 상도동 315-22,서울특별시 동작구 성대로2길 7 1층 (상도동),,,,
254,신룽푸마라탕 중앙대점,중국식,1399125397,서울특별시 동작구 흑석동 195-17 ,서울특별시 동작구 흑석로 81 지상2층 (흑석동),,,,
255,채홍,중국식,18705549,서울특별시 동작구 상도동 578 ,서울특별시 동작구 강남초등길 24 (상도1동),옛날 콩짜장,7000원,,
256,태원,중국식,18736549,서울특별시 동작구 대방동 14-9번지 ,서울특별시 동작구 등용로 81 (대방동),짜장면,짜장면,,
257,가야성,중국식,18705540,서울특별시 동작구 상도동 492-17 ,서울특별시 동작구 상도로62길 33 (상도동),,,,
258,자금성,중국식,20895762,서울특별시 동작구 노량진동 211-58 ,서울특별시 동작구 만양로14다길 7 (노량진동),짜장면,"4,500원",자장면,6300
259,미각중식당,중국식,1198950774,서울특별시 동작구 흑석동 177-18 ,서울특별시 동작구 흑석로 115 2층 (흑석동),,,,
260,칠기마라샹궈마라탕 중앙대점,중국식,1661609784,서울특별시 동작구 흑석동 190-49 2층3층 ,서울특별시 동작구 흑석로13가길 43 2층3층 (흑석동),,,,
261,오후홍콩,중국식,1028772718,서울특별시 동작구 흑석동 188-15번지 ,서울특별시 동작구 흑석로13가길 29 (흑석동),,,,
262,라사천마라탕 상도점,중국식,1102143728,서울특별시 동작구 상도동 347-1 ,서울특별시 동작구 상도로 117 2층 (상도동),,,,
263,부대통령뚝배기,중국식,954170327,서울특별시 동작구 노량진동 118-5번지 (지상1층 1호) ,서울특별시 동작구 만양로 100 (노량진동(지상1층 1호)),,,,
264,딘딘향 노량진역점,중국식,1241458262,서울특별시 동작구 노량진동 59-29 ,서울특별시 동작구 노량진로 144 1층 (노량진동),,,,
265,라와마라탕 6호점,중국식,1114481871,서울특별시 동작구 신대방동 687-7 ,서울특별시 동작구 신대방3길 61 1층 우측점포2호 (신대방동),,,,
266,옥문,중국식,1923250609,서울특별시 동작구 상도동 188-40 ,서울특별시 동작구 상도로 148 (상도동),짜장면,7000원,,
267,육촌,중국식,458846611,서울특별시 동작구 사당동 145-27번지 ,서울특별시 동작구 동작대로25길 13 (사당동),,,,
268,천외천,중국식,11694371,서울특별시 동작구 노량진동 325번지 신동아리버파크상가 217-220호 ,서울특별시 동작구 만양로 19 (노량진동신동아리버파크상가 217-220호),자장면,7500원,,
269,홍콩참치만두,중국식,1129306476,서울특별시 동작구 사당동 77-12 ,서울특별시 동작구 동작대로29나길 35 1층 (사당동),,,,
270,칭따오양꼬치,중국식,37653479,서울특별시 동작구 노량진동 244-72번지 ,서울특별시 동작구 노량진로8길 70 (노량진동),,,,
271,럭키데이,중국식,1801717833,서울특별시 동작구 흑석동 6-10번지 ,서울특별시 동작구 현충로 94 지상2층 (흑석동),,,,
272,취복루,중국식,21651765,서울특별시 동작구 노량진동 27-10 2층 ,서울특별시 동작구 노량진로 96 (노량진동2층),,,,
273,차고집냉면 동작점,냉면집,1212136013,서울특별시 동작구 상도동 299-58,서울특별시 동작구 국사봉길 74 1층 106호 (상도동),물냉면,"7,000원",냉면,10423
274,강남식당,김밥(도시락),994992031,서울특별시 동작구 사당동 206-12번지 (지상1층) ,서울특별시 동작구 사당로4길 13 (사당동(지상1층)),,,,
275,김밥이맛있는집,김밥(도시락),18696397,서울특별시 동작구 상도동 250-16 ,서울특별시 동작구 성대로5길 2 (상도동),소문난김밥,"2,000원",김밥,2969
276,추억과김밥,김밥(도시락),18698641,서울특별시 동작구 상도동 507-3번지 ,서울특별시 동작구 상도로61길 72 지하1층 B102호 (상도동),양푼비빔밥/김치찌개,6000/6000,,
277,해피트리,김밥(도시락),1842791728,서울특별시 동작구 상도동 535 ,서울특별시 동작구 상도로30길 40 1층 101호 (상도동 두산위브트레지움아파트상가),,,,
